date,retailer_id,product_id,demand,fulfilled,stockout,stockout_rate
2025-04-14,R1,p4,36,0,36,1.0
2025-04-14,R1,p1,10,0,10,1.0
2025-04-14,R1,p3,37,0,37,1.0
2025-04-14,R1,p2,29,0,29,1.0
2025-04-14,R1,p5,85,0,85,1.0
2025-04-14,R2,p4,111,0,111,1.0
2025-04-14,R2,p1,71,0,71,1.0
2025-04-14,R2,p3,31,0,31,1.0
2025-04-14,R2,p2,39,0,39,1.0
2025-04-14,R2,p5,38,0,38,1.0
2025-04-14,R3,p4,144,0,144,1.0
2025-04-14,R3,p1,151,0,151,1.0
2025-04-14,R3,p3,76,0,76,1.0
2025-04-14,R3,p2,108,0,108,1.0
2025-04-14,R3,p5,12,0,12,1.0
2025-04-14,R4,p4,147,0,147,1.0
2025-04-14,R4,p1,18,0,18,1.0
2025-04-14,R4,p3,132,0,132,1.0
2025-04-14,R4,p2,72,0,72,1.0
2025-04-14,R4,p5,68,0,68,1.0
2025-04-14,R5,p4,18,0,18,1.0
2025-04-14,R5,p1,18,0,18,1.0
2025-04-14,R5,p3,117,0,117,1.0
2025-04-14,R5,p2,66,0,66,1.0
2025-04-14,R5,p5,112,0,112,1.0
2025-04-14,R6,p4,10,0,10,1.0
2025-04-14,R6,p1,39,0,39,1.0
2025-04-14,R6,p3,74,0,74,1.0
2025-04-14,R6,p2,74,0,74,1.0
2025-04-14,R6,p5,56,0,56,1.0
2025-04-14,R7,p4,138,0,138,1.0
2025-04-14,R7,p1,24,0,24,1.0
2025-04-14,R7,p3,66,0,66,1.0
2025-04-14,R7,p2,77,0,77,1.0
2025-04-14,R7,p5,39,0,39,1.0
2025-04-14,R8,p4,37,0,37,1.0
2025-04-14,R8,p1,186,0,186,1.0
2025-04-14,R8,p3,64,0,64,1.0
2025-04-14,R8,p2,72,0,72,1.0
2025-04-14,R8,p5,27,0,27,1.0
2025-04-14,R9,p4,105,0,105,1.0
2025-04-14,R9,p1,69,0,69,1.0
2025-04-14,R9,p3,78,0,78,1.0
2025-04-14,R9,p2,48,0,48,1.0
2025-04-14,R9,p5,69,0,69,1.0
2025-04-14,R10,p4,165,0,165,1.0
2025-04-14,R10,p1,12,0,12,1.0
2025-04-14,R10,p3,26,0,26,1.0
2025-04-14,R10,p2,22,0,22,1.0
2025-04-14,R10,p5,92,0,92,1.0
2025-04-15,R1,p4,25,0,25,1.0
2025-04-15,R1,p1,5,0,5,1.0
2025-04-15,R1,p3,7,0,7,1.0
2025-04-15,R1,p2,127,0,127,1.0
2025-04-15,R1,p5,60,0,60,1.0
2025-04-15,R2,p4,95,0,95,1.0
2025-04-15,R2,p1,66,0,66,1.0
2025-04-15,R2,p3,51,0,51,1.0
2025-04-15,R2,p2,60,0,60,1.0
2025-04-15,R2,p5,31,0,31,1.0
2025-04-15,R3,p4,66,0,66,1.0
2025-04-15,R3,p1,109,0,109,1.0
2025-04-15,R3,p3,171,0,171,1.0
2025-04-15,R3,p2,147,0,147,1.0
2025-04-15,R3,p5,32,0,32,1.0
2025-04-15,R4,p4,93,0,93,1.0
2025-04-15,R4,p1,11,0,11,1.0
2025-04-15,R4,p3,167,0,167,1.0
2025-04-15,R4,p2,30,0,30,1.0
2025-04-15,R4,p5,18,0,18,1.0
2025-04-15,R5,p4,41,0,41,1.0
2025-04-15,R5,p1,33,0,33,1.0
2025-04-15,R5,p3,108,0,108,1.0
2025-04-15,R5,p2,52,0,52,1.0
2025-04-15,R5,p5,64,0,64,1.0
2025-04-15,R6,p4,21,0,21,1.0
2025-04-15,R6,p1,19,0,19,1.0
2025-04-15,R6,p3,73,0,73,1.0
2025-04-15,R6,p2,65,0,65,1.0
2025-04-15,R6,p5,62,0,62,1.0
2025-04-15,R7,p4,135,0,135,1.0
2025-04-15,R7,p1,73,0,73,1.0
2025-04-15,R7,p3,68,0,68,1.0
2025-04-15,R7,p2,204,0,204,1.0
2025-04-15,R7,p5,57,0,57,1.0
2025-04-15,R8,p4,34,0,34,1.0
2025-04-15,R8,p1,153,0,153,1.0
2025-04-15,R8,p3,217,0,217,1.0
2025-04-15,R8,p2,235,0,235,1.0
2025-04-15,R8,p5,14,0,14,1.0
2025-04-15,R9,p4,111,0,111,1.0
2025-04-15,R9,p1,74,0,74,1.0
2025-04-15,R9,p3,99,0,99,1.0
2025-04-15,R9,p2,60,0,60,1.0
2025-04-15,R9,p5,96,0,96,1.0
2025-04-15,R10,p4,149,0,149,1.0
